Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000178,Greenford Green,Ealing,0.83,4302.28,80.81,1.5,873.2,4.53,0.42,76.5,0.417098848,7.667606564
E05000179,Hanger Hill,Ealing,0.87,4893.71,84.63,2.3,893.75,3.13,0,72,0,7.728323224
E05000181,Lady Margaret,Ealing,0.81,8923.33,80.99,1,225.83,6.44,0.36,93.2,0.358887492,8.106277621
E05000182,Northfield,Ealing,0.88,8906.19,82.75,4.6,294.23,2.44,0.15,71.56,0.147590722,7.989558244
E05000183,North Greenford,Ealing,0.84,4586.51,83.44,1.2,1660.22,3.76,0.61,88.37,0.610169718,7.667606564
E05000184,Northolt Mandeville,Ealing,0.83,5644.26,82.1,1,1005.27,7.33,1.25,114.77,1.24826095,7.667606564
E05000185,Northolt West End,Ealing,0.81,4198.99,79.51,1.1,2110.51,9.12,1.45,148.52,1.451281112,7.667606564
E05000186,Norwood Green,Ealing,0.79,3814.71,79.06,1.7,1649.65,10.07,1,90.52,0.995217113,8.106277621
E05000187,Perivale,Ealing,0.83,4631.8,82.93,2.5,1286.24,4.84,0.33,89.14,0.325148932,7.667606564
E05000188,South Acton,Ealing,0.81,10132.05,79.67,4.3,297.46,7.15,0.34,105.27,0.335336481,7.728323224
E05000189,Southall Broadway,Ealing,0.81,8374.85,79.56,1,488.33,8.2,0.67,168.6,0.668013026,8.106277621
E05000190,Southall Green,Ealing,0.81,10277.6,79.87,1.3,181.34,10.39,0.68,113.87,0.684197747,8.106277621
E05000191,Southfield,Ealing,0.88,9584.67,81.87,6.2,142.15,3.04,0.15,92.68,0.148061733,7.728323224
E05000192,Walpole,Ealing,0.88,9136.43,81.57,5.1,265.07,3.59,0.22,113.41,0.224491799,7.989558244
E05000193,Bowes,Enfield,0.8,10161.62,83.02,2.1,239.4,6.6,0.43,83.89,0.42506512,7.359744244
E05000194,Bush Hill Park,Enfield,0.83,5788.99,83.39,1.6,684.1,3.86,0.36,76.3,0.357477435,7.359744244
E05000196,Cockfosters,Enfield,0.82,1456.14,84.37,0.7,7087.41,3.92,0.65,64.54,0.649759573,7.359744244
E05000197,Edmonton Green,Enfield,0.8,6085.33,80.23,1.2,1107.05,19.28,1.5,111.57,1.497390104,7.420989432
E05000198,Enfield Highway,Enfield,0.82,3646.69,82.85,1.7,1214.07,9.91,1.43,75.81,1.428522389,7.204568524
